식당명,음식,주소,gyung,wedo
저수지휴게실,매운 수제비,울산 울주군 청량면 문죽리 1213,129.251599400338,35.5261375220658
부암갈비,생갈비,인천 남동구 간석동 130-12,126.7143064233,37.4629965340271
화순반점,간짜장,인천 동구 만석동 2-70,126.622076931473,37.4881925739645
해장국집,해장국,인천 동구 송림동 59-25,126.644945154259,37.4750941618764
물레방아,한치보쌈,인천 동구 화수2동 35-28,126.63063227847,37.4852216331139
군봉묵은지김치찜,묵은지 돼지찜,인천 연수구 옥련동 116-29,126.651442276942,37.4285392647021
명월집,김치찌개,인천 중구 중앙동3가 4-46,126.622757874941,37.4720396575819
미미원,육전 #고기전,전남 광주 동구 동명동 138-5,126.926509205884,35.1470070539295
홍어1번지,홍어,전남 나주시 영산동 254-1,126.710450230543,34.9997428211988
성식당,떡갈비,전남 목포시 영해동1가 8-3,126.386493414199,34.7856176765572
조계산보리밥 아랫집,보리밥,전남 순천시 송광면 장안리 518,127.30681718778,34.9849297613843
맛나게장,게장백반,전남 여수시 신기동 66-10,127.670634195096,34.7608757239988
원조40번,갈비찜,전남 여수시 신기동 67-1,127.671479525539,34.7611513997118
명품해물탕,전복 해물찜,전남 완도군 완도읍 가용리 1032-10,126.747409588446,34.3208750224389
청운수산식당,해초 비빔밥,전남 완도군 청산면 도청리 934-8,126.855601520442,34.1815534774028
명희네음식점,장흥 삼합,전남 장흥군 장흥읍 예양리 195,126.902599838964,34.6748755295037
과역기사님식당,삼겹살,전라남도 고흥군 과역면 과역리 60-2,127.361129640697,34.67713185251
동아식당,족탕,전라남도 구례군 구례읍 봉동리 238-3,127.468325278543,35.2090523877492
송현불고기,불고기,전라남도 나주시 대호동 311-33,126.72171098503,35.0507301654259
나주곰탕 하얀집,곰탕,전라남도 나주시 중앙동 48-17,126.717026251605,35.0322573062745
옛날진미국수,국수,전라남도 담양군 담양읍 객사리 211-5,126.983648918761,35.3241474242396
승일식당,돼지갈비,전라남도 담양군 담양읍 객사리 226-1,126.982356146966,35.3219952143576
서울분식,돈까스,전라남도 목포시 대성동 84-18,126.384072448587,34.7967489606067
솔분식,돈까스,전라남도 목포시 대성동 84-18,126.384072448587,34.7967489606067
코롬방제과,새우바게트,전라남도 목포시 무안동 1,0,0
해남해장국,해장국,전라남도 목포시 상락동1가 7,0,0
독천식당,낙지 탕탕이,전라남도 목포시 호남동 10-36,126.385600065506,34.7939647891798
송치마을,경양식돈가스,전라남도 순천시 월등면 계월리 82,127.422152212118,35.0607890147493
풍미통닭,통마늘통닭,전라남도 순천시 장천동 19-16,127.491097935071,34.9461736407181
형제정육점식당,꽃삼겹살,전라남도 순천시 황전면 괴목리 40,127.429343223267,35.102320650747
순심원,탕수육 해물철판짜장,전라남도 여수시 교동 442-2,127.734433870703,34.7397599508224
화랑식당,육회비빔밥,전라남도 함평군 함평읍 기각리 982,126.523417082899,35.0638906909922
봉순이팥죽칼국수,팥칼국수,전라남도 화순군 화순읍 삼천리 626,126.983252753429,35.0599291678408
비행장정문부대찌개,부대찌개,전라북도 군산시 나운동 839-12,126.695037866521,35.9636622724678
지린성,고추짜장,전라북도 군산시 미원동 87,126.714723418294,35.9797071452709
안젤라분식,떡볶이,전라북도 군산시 영화동 18-4,126.710889220621,35.9889640805515
홍영장,물짜장,전라북도 군산시 장미동 1-18,126.714023767513,35.9880336810532
명천슈퍼식당,제육볶음,전라북도 김제시 공덕면 제말리 289-17,126.895491840328,35.886553906505
대흥각,고추짬뽕,전라북도 김제시 요촌동 182-52,126.890430271692,35.7993317927701
경방루,탕수육,전라북도 남원시 죽항동 134-1,127.384434157672,35.4069799878248
명문제과,슈보로,전라북도 남원시 하정동 1,0,0
진고개식당,대패삼겹살,전라북도 남원시 하정동 84-1,127.381636896213,35.4069613681818
정순순대,순대국밥,전라북도 익산시 창인동1가 103-2,126.949507528683,35.941631764003
시장비빔밥,육회 비빔밥,전라북도 익산시 황등면 황등리 588-2,126.945281423697,36.0060821886195
